dataset_id,n,m,is_dag,algo,metric_name,metric_value,time_ns,run_id,seed,notes
small_1,7,13,false,SCC,dfs_calls,7,285000,1,1002,
small_1,7,13,false,SCC,edges_processed,13,285000,1,1002,
small_1,7,13,false,SCC,components_found,2,285000,1,1002,
small_1,7,13,true,TOPOLOGICAL_SORT,pushes,2,2543100,1,1002,
small_1,7,13,true,TOPOLOGICAL_SORT,pops,2,2543100,1,1002,
small_1,7,13,true,TOPOLOGICAL_SORT,edges_processed,2,2543100,1,1002,
small_1,7,13,true,TOPOLOGICAL_SORT,vertices_sorted,2,2543100,1,1002,
small_1,7,13,true,DAG_SHORTEST_PATH,relaxations,0,1553200,1,1002,multiple_components_condensation_graph
small_1,7,13,true,DAG_SHORTEST_PATH,updates,0,1553200,1,1002,multiple_components_condensation_graph
small_1,7,13,true,DAG_SHORTEST_PATH,path_comparisons,0,1553200,1,1002,multiple_components_condensation_graph
small_1,7,13,true,DAG_LONGEST_PATH,relaxations,1,1553200,1,1002,multiple_components_condensation_graph
small_1,7,13,true,DAG_LONGEST_PATH,updates,1,1553200,1,1002,multiple_components_condensation_graph
small_1,7,13,true,DAG_LONGEST_PATH,path_comparisons,1,1553200,1,1002,multiple_components_condensation_graph
small_1,7,13,true,DAG_LONGEST_PATH,critical_path_length,3,1553200,1,1002,multiple_components_condensation_graph
small_2,10,31,false,SCC,dfs_calls,10,36200,2,1003,
small_2,10,31,false,SCC,edges_processed,31,36200,2,1003,
small_2,10,31,false,SCC,components_found,1,36200,2,1003,
small_2,10,31,true,TOPOLOGICAL_SORT,pushes,1,49900,2,1003,
small_2,10,31,true,TOPOLOGICAL_SORT,pops,1,49900,2,1003,
small_2,10,31,true,TOPOLOGICAL_SORT,edges_processed,0,49900,2,1003,
small_2,10,31,true,TOPOLOGICAL_SORT,vertices_sorted,1,49900,2,1003,
small_2,10,31,false,DAG_SHORTEST_PATH,relaxations,0,146800,2,1003,single_component_original_graph
small_2,10,31,false,DAG_SHORTEST_PATH,updates,0,146800,2,1003,single_component_original_graph
small_2,10,31,false,DAG_SHORTEST_PATH,path_comparisons,0,146800,2,1003,single_component_original_graph
small_2,10,31,false,DAG_LONGEST_PATH,relaxations,0,146800,2,1003,single_component_original_graph
small_2,10,31,false,DAG_LONGEST_PATH,updates,0,146800,2,1003,single_component_original_graph
small_2,10,31,false,DAG_LONGEST_PATH,path_comparisons,0,146800,2,1003,single_component_original_graph
small_2,10,31,false,DAG_LONGEST_PATH,critical_path_length,0,146800,2,1003,single_component_original_graph
small_3,8,30,false,SCC,dfs_calls,8,37500,3,1004,
small_3,8,30,false,SCC,edges_processed,30,37500,3,1004,
small_3,8,30,false,SCC,components_found,1,37500,3,1004,
small_3,8,30,true,TOPOLOGICAL_SORT,pushes,1,39000,3,1004,
small_3,8,30,true,TOPOLOGICAL_SORT,pops,1,39000,3,1004,
small_3,8,30,true,TOPOLOGICAL_SORT,edges_processed,0,39000,3,1004,
small_3,8,30,true,TOPOLOGICAL_SORT,vertices_sorted,1,39000,3,1004,
small_3,8,30,false,DAG_SHORTEST_PATH,relaxations,0,117400,3,1004,single_component_original_graph
small_3,8,30,false,DAG_SHORTEST_PATH,updates,0,117400,3,1004,single_component_original_graph
small_3,8,30,false,DAG_SHORTEST_PATH,path_comparisons,0,117400,3,1004,single_component_original_graph
small_3,8,30,false,DAG_LONGEST_PATH,relaxations,0,117400,3,1004,single_component_original_graph
small_3,8,30,false,DAG_LONGEST_PATH,updates,0,117400,3,1004,single_component_original_graph
small_3,8,30,false,DAG_LONGEST_PATH,path_comparisons,0,117400,3,1004,single_component_original_graph
small_3,8,30,false,DAG_LONGEST_PATH,critical_path_length,0,117400,3,1004,single_component_original_graph
medium_1,10,27,false,SCC,dfs_calls,10,15700,4,2003,
medium_1,10,27,false,SCC,edges_processed,27,15700,4,2003,
medium_1,10,27,false,SCC,components_found,2,15700,4,2003,
medium_1,10,27,true,TOPOLOGICAL_SORT,pushes,2,102400,4,2003,
medium_1,10,27,true,TOPOLOGICAL_SORT,pops,2,102400,4,2003,
medium_1,10,27,true,TOPOLOGICAL_SORT,edges_processed,2,102400,4,2003,
medium_1,10,27,true,TOPOLOGICAL_SORT,vertices_sorted,2,102400,4,2003,
medium_1,10,27,true,DAG_SHORTEST_PATH,relaxations,1,69000,4,2003,multiple_components_condensation_graph
medium_1,10,27,true,DAG_SHORTEST_PATH,updates,1,69000,4,2003,multiple_components_condensation_graph
medium_1,10,27,true,DAG_SHORTEST_PATH,path_comparisons,1,69000,4,2003,multiple_components_condensation_graph
medium_1,10,27,true,DAG_LONGEST_PATH,relaxations,1,69000,4,2003,multiple_components_condensation_graph
medium_1,10,27,true,DAG_LONGEST_PATH,updates,1,69000,4,2003,multiple_components_condensation_graph
medium_1,10,27,true,DAG_LONGEST_PATH,path_comparisons,1,69000,4,2003,multiple_components_condensation_graph
medium_1,10,27,true,DAG_LONGEST_PATH,critical_path_length,7,69000,4,2003,multiple_components_condensation_graph
medium_2,11,45,false,SCC,dfs_calls,11,20800,5,2004,
medium_2,11,45,false,SCC,edges_processed,45,20800,5,2004,
medium_2,11,45,false,SCC,components_found,1,20800,5,2004,
medium_2,11,45,true,TOPOLOGICAL_SORT,pushes,1,49700,5,2004,
medium_2,11,45,true,TOPOLOGICAL_SORT,pops,1,49700,5,2004,
medium_2,11,45,true,TOPOLOGICAL_SORT,edges_processed,0,49700,5,2004,
medium_2,11,45,true,TOPOLOGICAL_SORT,vertices_sorted,1,49700,5,2004,
medium_2,11,45,false,DAG_SHORTEST_PATH,relaxations,0,64200,5,2004,single_component_original_graph
medium_2,11,45,false,DAG_SHORTEST_PATH,updates,0,64200,5,2004,single_component_original_graph
medium_2,11,45,false,DAG_SHORTEST_PATH,path_comparisons,0,64200,5,2004,single_component_original_graph
medium_2,11,45,false,DAG_LONGEST_PATH,relaxations,0,64200,5,2004,single_component_original_graph
medium_2,11,45,false,DAG_LONGEST_PATH,updates,0,64200,5,2004,single_component_original_graph
medium_2,11,45,false,DAG_LONGEST_PATH,path_comparisons,0,64200,5,2004,single_component_original_graph
medium_2,11,45,false,DAG_LONGEST_PATH,critical_path_length,0,64200,5,2004,single_component_original_graph
medium_3,12,66,false,SCC,dfs_calls,12,14500,6,2005,
medium_3,12,66,false,SCC,edges_processed,66,14500,6,2005,
medium_3,12,66,false,SCC,components_found,1,14500,6,2005,
medium_3,12,66,true,TOPOLOGICAL_SORT,pushes,1,36100,6,2005,
medium_3,12,66,true,TOPOLOGICAL_SORT,pops,1,36100,6,2005,
medium_3,12,66,true,TOPOLOGICAL_SORT,edges_processed,0,36100,6,2005,
medium_3,12,66,true,TOPOLOGICAL_SORT,vertices_sorted,1,36100,6,2005,
medium_3,12,66,false,DAG_SHORTEST_PATH,relaxations,0,102900,6,2005,single_component_original_graph
medium_3,12,66,false,DAG_SHORTEST_PATH,updates,0,102900,6,2005,single_component_original_graph
medium_3,12,66,false,DAG_SHORTEST_PATH,path_comparisons,0,102900,6,2005,single_component_original_graph
medium_3,12,66,false,DAG_LONGEST_PATH,relaxations,0,102900,6,2005,single_component_original_graph
medium_3,12,66,false,DAG_LONGEST_PATH,updates,0,102900,6,2005,single_component_original_graph
medium_3,12,66,false,DAG_LONGEST_PATH,path_comparisons,0,102900,6,2005,single_component_original_graph
medium_3,12,66,false,DAG_LONGEST_PATH,critical_path_length,0,102900,6,2005,single_component_original_graph
large_1,43,370,false,SCC,dfs_calls,43,64000,7,3004,
large_1,43,370,false,SCC,edges_processed,370,64000,7,3004,
large_1,43,370,false,SCC,components_found,1,64000,7,3004,
large_1,43,370,true,TOPOLOGICAL_SORT,pushes,1,199400,7,3004,
large_1,43,370,true,TOPOLOGICAL_SORT,pops,1,199400,7,3004,
large_1,43,370,true,TOPOLOGICAL_SORT,edges_processed,0,199400,7,3004,
large_1,43,370,true,TOPOLOGICAL_SORT,vertices_sorted,1,199400,7,3004,
large_1,43,370,false,DAG_SHORTEST_PATH,relaxations,0,269900,7,3004,single_component_original_graph
large_1,43,370,false,DAG_SHORTEST_PATH,updates,0,269900,7,3004,single_component_original_graph
large_1,43,370,false,DAG_SHORTEST_PATH,path_comparisons,0,269900,7,3004,single_component_original_graph
large_1,43,370,false,DAG_LONGEST_PATH,relaxations,0,269900,7,3004,single_component_original_graph
large_1,43,370,false,DAG_LONGEST_PATH,updates,0,269900,7,3004,single_component_original_graph
large_1,43,370,false,DAG_LONGEST_PATH,path_comparisons,0,269900,7,3004,single_component_original_graph
large_1,43,370,false,DAG_LONGEST_PATH,critical_path_length,0,269900,7,3004,single_component_original_graph
large_2,24,199,false,SCC,dfs_calls,24,34900,8,3005,
large_2,24,199,false,SCC,edges_processed,199,34900,8,3005,
large_2,24,199,false,SCC,components_found,1,34900,8,3005,
large_2,24,199,true,TOPOLOGICAL_SORT,pushes,1,55600,8,3005,
large_2,24,199,true,TOPOLOGICAL_SORT,pops,1,55600,8,3005,
large_2,24,199,true,TOPOLOGICAL_SORT,edges_processed,0,55600,8,3005,
large_2,24,199,true,TOPOLOGICAL_SORT,vertices_sorted,1,55600,8,3005,
large_2,24,199,false,DAG_SHORTEST_PATH,relaxations,0,161200,8,3005,single_component_original_graph
large_2,24,199,false,DAG_SHORTEST_PATH,updates,0,161200,8,3005,single_component_original_graph
large_2,24,199,false,DAG_SHORTEST_PATH,path_comparisons,0,161200,8,3005,single_component_original_graph
large_2,24,199,false,DAG_LONGEST_PATH,relaxations,0,161200,8,3005,single_component_original_graph
large_2,24,199,false,DAG_LONGEST_PATH,updates,0,161200,8,3005,single_component_original_graph
large_2,24,199,false,DAG_LONGEST_PATH,path_comparisons,0,161200,8,3005,single_component_original_graph
large_2,24,199,false,DAG_LONGEST_PATH,critical_path_length,0,161200,8,3005,single_component_original_graph
large_3,22,231,false,SCC,dfs_calls,22,42700,9,3006,
large_3,22,231,false,SCC,edges_processed,231,42700,9,3006,
large_3,22,231,false,SCC,components_found,1,42700,9,3006,
large_3,22,231,true,TOPOLOGICAL_SORT,pushes,1,61300,9,3006,
large_3,22,231,true,TOPOLOGICAL_SORT,pops,1,61300,9,3006,
large_3,22,231,true,TOPOLOGICAL_SORT,edges_processed,0,61300,9,3006,
large_3,22,231,true,TOPOLOGICAL_SORT,vertices_sorted,1,61300,9,3006,
large_3,22,231,false,DAG_SHORTEST_PATH,relaxations,0,145600,9,3006,single_component_original_graph
large_3,22,231,false,DAG_SHORTEST_PATH,updates,0,145600,9,3006,single_component_original_graph
large_3,22,231,false,DAG_SHORTEST_PATH,path_comparisons,0,145600,9,3006,single_component_original_graph
large_3,22,231,false,DAG_LONGEST_PATH,relaxations,0,145600,9,3006,single_component_original_graph
large_3,22,231,false,DAG_LONGEST_PATH,updates,0,145600,9,3006,single_component_original_graph
large_3,22,231,false,DAG_LONGEST_PATH,path_comparisons,0,145600,9,3006,single_component_original_graph
large_3,22,231,false,DAG_LONGEST_PATH,critical_path_length,0,145600,9,3006,single_component_original_graph
